SeniorCitizen,tenure,MonthlyCharges,TotalCharges,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,true,pred,proba
0,3,74.55,233.65,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,1,0.70774937
0,25,95.15,2395.7,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,0,1,0.74298483
0,1,69.9,69.9,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,1,0.8403152
0,3,74.95,212.4,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,1,0.89031446
1,60,99.0,6017.9,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,0,1,0.7689346
0,12,79.55,958.25,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,0,1,0.7976246
0,5,84.0,424.75,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,0,1,0.8912607
0,10,79.85,797.25,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,1,0.74252266
1,1,74.3,74.3,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,1,0.87681174
0,1,20.65,20.65,False,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,0,1,0.52908456
0,59,44.3,2666.75,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,0,1,0.72250473
0,3,70.15,194.2,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,1,0.8398758
0,3,69.95,220.45,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,True,False,0,1,0.5533849
0,22,100.05,2090.25,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,True,False,False,True,0,1,0.80344886
0,1,50.15,50.15,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,1,0.6031661
1,30,101.3,2974.5,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,0,1,0.8207041
0,1,55.05,55.05,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,0,1,0.675072
1,4,48.75,179.85,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,1,0.89568865
0,16,75.4,1189.4,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,1,0.84279376
1,7,48.2,340.35,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,1,0.7200744
0,18,95.95,1745.5,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,0,1,0.7871737
0,9,24.95,190.25,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,1,0.85631657
1,66,108.1,7181.95,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,True,True,False,False,0,1,0.5781844
0,11,58.95,601.6,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,0,1,0.7913587
